"","b","se","b","se","b","se","b","se","b","se","b","se"
"ATE","","","","","","","","","","","",""
"r1vs0.treat","1829.796","779.598","1875.828","734.9529","1671.739","726.061","","","","","",""
"r1vs0.treat2","","","","","","","-15619.49","1153.316","-9349.564","3974.77","-9561.966","4033.541"
"","b","se","b","se","b","se","b","se","b","se","b","se"
"ATE","","","","","","","","","","","",""
"r1vs0.treat","1541.572","646.316","1488.634","765.4044","1256.807","677.1309","","","","","",""
"r1vs0.treat2","","","","","","","-15858.78","6749.931","8646.259","15055.98","-9561.966","4033.541"
